test,level,statistic,pvalue,mean_diff,std_diff,cohens_d,ci_lower,ci_upper,n,significant_005,significant_001
t-test: Z0 vs Z10,10,48.799506294001944,0.0,0.07992236963033408,0.23533222583739213,0.3396150669375735,0.07671221113246571,0.08313252812820246,20647,True,True
t-test: Z0 vs Z20,20,38.6965734413688,0.0,0.057824296328490135,0.2147169478669474,0.2693047610024796,0.05489535010202767,0.060753242554952604,20647,True,True
t-test: Z0 vs Z30,30,32.35143983762671,5.077278053525517e-224,0.04570618632585699,0.203006456415217,0.2251464664373647,0.04293698249555051,0.04847539015616347,20647,True,True
t-test: Z0 vs Z40,40,26.744269270321126,6.243689461727404e-155,0.03561916337884524,0.19137334909068968,0.18612394854398312,0.03300864635057602,0.03822968040711446,20647,True,True
t-test: Z0 vs Z50,50,23.01234401241642,1.0011158054040492e-115,0.029883150791441663,0.1865924243817544,0.16015200451173156,0.027337850186581716,0.032428451396301614,20647,True,True
t-test: Z0 vs Z60,60,20.04039958104618,1.699685718877319e-88,0.02463055846684205,0.1766023024302238,0.13946906766163863,0.02222153275915495,0.027039584174529153,20647,True,True
t-test: Z0 vs Z70,70,16.25917948824263,4.478595822150037e-59,0.01905121168092967,0.1683652486660015,0.11315406137476122,0.01675454732980785,0.021347876032051488,20647,True,True
t-test: Z0 vs Z80,80,13.921645625345224,7.388954916094316e-44,0.016407165347848685,0.16934464153994866,0.09688623861167883,0.01409714113347029,0.01871718956222708,20647,True,True
t-test: Z0 vs Z90,90,11.419926038104213,4.094898326098841e-30,0.013123059131035874,0.16512022564126044,0.07947578244924992,0.010870660023237971,0.015375458238833777,20647,True,True
